Trial,Num_Cat,word,category,Trial_Cats,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,Aluminum,Metals,Distances  Metals  Relatives,0,0,0,0,11.525541658000293,None,13.47661177900045,None,15.717977445000543,None,15.717977445000543,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Iron,Metals,Distances  Metals  Relatives,0,1,1,1,,,,,17.202362042999994,None,17.202362042999994,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Aunt,Relatives,Distances  Metals  Relatives,0,2,2,2,,,,,18.69830221400025,None,18.69830221400025,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Father,Relatives,Distances  Metals  Relatives,0,3,3,3,,,,,20.214981232000355,None,20.214981232000355,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Daughter,Relatives,Distances  Metals  Relatives,0,4,4,4,,,,,21.69906407899998,None,21.69906407899998,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Father,Relatives,Distances  Metals  Relatives,0,5,5,5,,,,,23.198744682000324,23.198744682000324,23.198744682000324,23.198744682000324,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Inches,Distances,Distances  Metals  Relatives,0,6,6,6,,,,,24.69880719000048,24.69880719000048,24.69880719000048,24.69880719000048,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Daughter,Relatives,Distances  Metals  Relatives,0,7,7,7,,,,,26.183809873999962,26.183809873999962,26.183809873999962,26.183809873999962,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Miles,Distances,Distances  Metals  Relatives,0,8,8,8,,,,,27.700528868999754,27.700528868999754,27.700528868999754,27.700528868999754,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Aluminum,Metals,Distances  Metals  Relatives,0,9,9,9,,,,,29.199540478000017,None,29.199540478000017,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Iron,Metals,Distances  Metals  Relatives,0,10,10,10,,,,,30.7003447269999,None,30.7003447269999,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
1,3,Aunt,Relatives,Distances  Metals  Relatives,0,11,11,11,,,,,32.19960442400043,None,32.19960442400043,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
2,4,Red,Colors,Colors  Countries  Distances  Metals,0,12,12,12,,,,,33.69908557200051,None,33.69908557200051,None,1,001,2019_Jul_30_1326,KTT,3.1.5,60.29571708866816,
