Trial,Num_Cat,word,category,Trial_Cats,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,Aluminum,Metals,Distances  Metals  Relatives,0,0,0,0,15.941395742000168,None,17.423183410999627,None,18.1727101460001,None,18.1727101460001,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Iron,Metals,Distances  Metals  Relatives,0,1,1,1,,,,,19.640305559999433,None,19.640305559999433,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Aunt,Relatives,Distances  Metals  Relatives,0,2,2,2,,,,,21.13936575200023,None,21.13936575200023,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Father,Relatives,Distances  Metals  Relatives,0,3,3,3,,,,,22.639200390999576,None,22.639200390999576,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Daughter,Relatives,Distances  Metals  Relatives,0,4,4,4,,,,,24.15587534399947,None,24.15587534399947,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Father,Relatives,Distances  Metals  Relatives,0,5,5,5,,,,,25.63976739899954,None,25.63976739899954,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Inches,Distances,Distances  Metals  Relatives,0,6,6,6,,,,,27.156532572000287,None,27.156532572000287,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Daughter,Relatives,Distances  Metals  Relatives,0,7,7,7,,,,,28.656202127999677,None,28.656202127999677,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Miles,Distances,Distances  Metals  Relatives,0,8,8,8,,,,,30.156516737999482,None,30.156516737999482,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Aluminum,Metals,Distances  Metals  Relatives,0,9,9,9,,,,,31.637860069999988,None,31.637860069999988,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Iron,Metals,Distances  Metals  Relatives,0,10,10,10,,,,,33.138544784999795,None,33.138544784999795,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
1,3,Aunt,Relatives,Distances  Metals  Relatives,0,11,11,11,,,,,34.64059831299983,None,34.64059831299983,None,1,001,2019_Jul_30_1334,KTT,3.1.5,59.77282381948872,
