word,category,Trial_Cats,Trial_File,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,Trial_Name.started,Trial_Name.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,,0,0,0,0,,,,,,,,,10.944680919001257,None,14.099844758000472,None,15.969951806000608,None,15.969951806000608,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Inches,Distances,Distances  Metals  Relatives,,0,1,1,1,,,,,,,,,,,,,17.45382083700133,17.45382083700133,17.45382083700133,17.45382083700133,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Aluminum,Metals,Distances  Metals  Relatives,,0,2,2,2,,,,,,,,,,,,,18.966508101000727,18.966508101000727,18.966508101000727,18.966508101000727,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Iron,Metals,Distances  Metals  Relatives,,0,3,3,3,,,,,,,,,,,,,20.466528892000497,20.466528892000497,20.466528892000497,20.466528892000497,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Aunt,Relatives,Distances  Metals  Relatives,,0,4,4,4,,,,,,,,,,,,,21.953132942000593,21.953132942000593,21.953132942000593,21.953132942000593,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Father,Relatives,Distances  Metals  Relatives,,0,5,5,5,,,,,,,,,,,,,23.44921724300002,23.44921724300002,23.44921724300002,23.44921724300002,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Daughter,Relatives,Distances  Metals  Relatives,,0,6,6,6,,,,,,,,,,,,,24.953984282999954,24.953984282999954,24.953984282999954,24.953984282999954,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Father,Relatives,Distances  Metals  Relatives,,0,7,7,7,,,,,,,,,,,,,26.449464049001108,26.449464049001108,26.449464049001108,26.449464049001108,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Inches,Distances,Distances  Metals  Relatives,,0,8,8,8,,,,,,,,,,,,,27.953672913001355,27.953672913001355,27.953672913001355,27.953672913001355,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Daughter,Relatives,Distances  Metals  Relatives,,0,9,9,9,,,,,,,,,,,,,29.466963479000697,None,29.466963479000697,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Miles,Distances,Distances  Metals  Relatives,,0,10,10,10,,,,,,,,,,,,,30.966496171000472,None,30.966496171000472,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Aluminum,Metals,Distances  Metals  Relatives,,0,11,11,11,,,,,,,,,,,,,32.46700693599996,None,32.46700693599996,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Iron,Metals,Distances  Metals  Relatives,,0,12,12,12,,,,,,,,,,,,,33.967582818000665,None,33.967582818000665,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Aunt,Relatives,Distances  Metals  Relatives,,0,13,13,13,,,,,,,,,,,,,35.44978793900009,35.44978793900009,35.44978793900009,35.44978793900009,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Red,Colors,Colors  Countries  Distances  Metals,Trial2.csv,,,,,0,0,0,0,0,0,0,0,,,,,46.18264984800044,None,46.18264984800044,None,41.941894089000925,None,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Blue,Colors,Colors  Countries  Distances  Metals,Trial2.csv,,,,,0,0,0,0,0,1,1,1,,,,,47.667565198000375,None,47.667565198000375,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Yellow,Colors,Colors  Countries  Distances  Metals,Trial2.csv,,,,,0,0,0,0,0,2,2,2,,,,,49.16753297900141,None,49.16753297900141,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
Canada,Countries,Colors  Countries  Distances  Metals,Trial2.csv,,,,,0,0,0,0,0,3,3,3,,,,,50.667908089000775,None,50.667908089000775,None,,,1,001,2019_Jul_30_1412,KTT,3.1.5,60.053448409948736,
