word,category,Trial_Cats,Trial_File,Rdy_Txt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,Ready_Text.started,Ready_Text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,,,0,0,0,0,,,,,,,,,209.87790134199895,None,212.27665739199983,None,214.37853879799877,None,214.37853879799877,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Inches,Distances,Distances  Metals  Relatives,,,0,1,1,1,,,,,,,,,,,,,215.86101863099975,None,215.86101863099975,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Aluminum,Metals,Distances  Metals  Relatives,,,0,2,2,2,,,,,,,,,,,,,217.35946784899897,217.35946784899897,217.35946784899897,217.35946784899897,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Iron,Metals,Distances  Metals  Relatives,,,0,3,3,3,,,,,,,,,,,,,218.86016164099965,None,218.86016164099965,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Aunt,Relatives,Distances  Metals  Relatives,,,0,4,4,4,,,,,,,,,,,,,220.34801203699863,None,220.34801203699863,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Father,Relatives,Distances  Metals  Relatives,,,0,5,5,5,,,,,,,,,,,,,221.86194029699982,None,221.86194029699982,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Daughter,Relatives,Distances  Metals  Relatives,,,0,6,6,6,,,,,,,,,,,,,223.35987895200014,None,223.35987895200014,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Father,Relatives,Distances  Metals  Relatives,,,0,7,7,7,,,,,,,,,,,,,224.860054236,None,224.860054236,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Inches,Distances,Distances  Metals  Relatives,,,0,8,8,8,,,,,,,,,,,,,226.3599030839996,None,226.3599030839996,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
Daughter,Relatives,Distances  Metals  Relatives,,,0,9,9,9,,,,,,,,,,,,,227.8600269689996,None,227.8600269689996,None,,,1,001,2019_Jul_30_1425,KTT,3.1.5,60.258035755208816,
