word,category,Trial_Cats,Trial_File,Rdy_Txt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,,,0,0,0,0,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Inches,Distances,Distances  Metals  Relatives,,,0,1,1,1,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Aluminum,Metals,Distances  Metals  Relatives,,,0,2,2,2,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Iron,Metals,Distances  Metals  Relatives,,,0,3,3,3,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Aunt,Relatives,Distances  Metals  Relatives,,,0,4,4,4,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Father,Relatives,Distances  Metals  Relatives,,,0,5,5,5,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Daughter,Relatives,Distances  Metals  Relatives,,,0,6,6,6,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Father,Relatives,Distances  Metals  Relatives,,,0,7,7,7,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Inches,Distances,Distances  Metals  Relatives,,,0,8,8,8,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Daughter,Relatives,Distances  Metals  Relatives,,,0,9,9,9,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Miles,Distances,Distances  Metals  Relatives,,,0,10,10,10,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Aluminum,Metals,Distances  Metals  Relatives,,,0,11,11,11,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Iron,Metals,Distances  Metals  Relatives,,,0,12,12,12,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Aunt,Relatives,Distances  Metals  Relatives,,,0,13,13,13,,,,,,,,,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Red,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,0,0,0,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Blue,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,1,1,1,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Yellow,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,2,2,2,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Canada,Countries,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,3,3,3,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Germany,Countries,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,4,4,4,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Miles,Distances,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,5,5,5,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Inches,Distances,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,6,6,6,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Aluminum,Metals,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,7,7,7,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Iron,Metals,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,8,8,8,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Yellow,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,9,9,9,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Blue,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,10,10,10,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Inches,Distances,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,11,11,11,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Germany,Countries,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,12,12,12,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Miles,Distances,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,13,13,13,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Red,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,14,14,14,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Aluminum,Metals,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,15,15,15,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Iron,Metals,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,16,16,16,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Canada,Countries,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,17,17,17,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Canada,Countries,Countries  Distances  Metals  Relatives,Trial3.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,1,1,1,0,0,0,0,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Germany,Countries,Countries  Distances  Metals  Relatives,Trial3.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,1,1,1,0,1,1,1,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Miles,Distances,Countries  Distances  Metals  Relatives,Trial3.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,1,1,1,0,2,2,2,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
Inches,Distances,Countries  Distances  Metals  Relatives,Trial3.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,1,1,1,0,3,3,3,1,001,2019_Nov_07_0921,KTT,3.2.3,60.01784930848803,
