word,category,Trial_Cats,Trial_File,Rdy_Txt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,,,0,0,0,0,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Inches,Distances,Distances  Metals  Relatives,,,0,1,1,1,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Aluminum,Metals,Distances  Metals  Relatives,,,0,2,2,2,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Iron,Metals,Distances  Metals  Relatives,,,0,3,3,3,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Aunt,Relatives,Distances  Metals  Relatives,,,0,4,4,4,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Father,Relatives,Distances  Metals  Relatives,,,0,5,5,5,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Daughter,Relatives,Distances  Metals  Relatives,,,0,6,6,6,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Father,Relatives,Distances  Metals  Relatives,,,0,7,7,7,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Inches,Distances,Distances  Metals  Relatives,,,0,8,8,8,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Daughter,Relatives,Distances  Metals  Relatives,,,0,9,9,9,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Miles,Distances,Distances  Metals  Relatives,,,0,10,10,10,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Aluminum,Metals,Distances  Metals  Relatives,,,0,11,11,11,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Iron,Metals,Distances  Metals  Relatives,,,0,12,12,12,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Aunt,Relatives,Distances  Metals  Relatives,,,0,13,13,13,,,,,,,,,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
Red,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,0,0,0,,001,2019_Nov_19_1644,KTT,3.2.3,60.03471207056396,
