word,category,Trial_Cats,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,0,0,0,0,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Inches,Distances,Distances  Metals  Relatives,0,1,1,1,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Aluminum,Metals,Distances  Metals  Relatives,0,2,2,2,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Iron,Metals,Distances  Metals  Relatives,0,3,3,3,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Aunt,Relatives,Distances  Metals  Relatives,0,4,4,4,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Father,Relatives,Distances  Metals  Relatives,0,5,5,5,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Daughter,Relatives,Distances  Metals  Relatives,0,6,6,6,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Father,Relatives,Distances  Metals  Relatives,0,7,7,7,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Inches,Distances,Distances  Metals  Relatives,0,8,8,8,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Daughter,Relatives,Distances  Metals  Relatives,0,9,9,9,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
Miles,Distances,Distances  Metals  Relatives,0,10,10,10,,001,2019_Oct_09_1335,KTT,3.2.3,60.00744092279208,
