word,category,Trial_Cats,Trial_File,Rdy_Txt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,,,0,0,0,0,,,,,,,,,16.306335399999966,None,19.088969399999996,None,22.055563399999983,None,22.055563399999983,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Inches,Distances,Distances  Metals  Relatives,,,0,1,1,1,,,,,,,,,,,,,23.505563400000028,None,23.505563400000028,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Aluminum,Metals,Distances  Metals  Relatives,,,0,2,2,2,,,,,,,,,,,,,24.988890399999946,None,24.988890399999946,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Iron,Metals,Distances  Metals  Relatives,,,0,3,3,3,,,,,,,,,,,,,26.48876329999996,None,26.48876329999996,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Aunt,Relatives,Distances  Metals  Relatives,,,0,4,4,4,,,,,,,,,,,,,27.971991600000024,None,27.971991600000024,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Father,Relatives,Distances  Metals  Relatives,,,0,5,5,5,,,,,,,,,,,,,29.48869990000003,None,29.48869990000003,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Daughter,Relatives,Distances  Metals  Relatives,,,0,6,6,6,,,,,,,,,,,,,30.988673999999946,None,30.988673999999946,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Father,Relatives,Distances  Metals  Relatives,,,0,7,7,7,,,,,,,,,,,,,32.47182769999995,None,32.47182769999995,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Inches,Distances,Distances  Metals  Relatives,,,0,8,8,8,,,,,,,,,,,,,33.97197649999998,None,33.97197649999998,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Daughter,Relatives,Distances  Metals  Relatives,,,0,9,9,9,,,,,,,,,,,,,35.47194330000002,None,35.47194330000002,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Miles,Distances,Distances  Metals  Relatives,,,0,10,10,10,,,,,,,,,,,,,36.971878100000026,None,36.971878100000026,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Aluminum,Metals,Distances  Metals  Relatives,,,0,11,11,11,,,,,,,,,,,,,38.47192740000003,None,38.47192740000003,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Iron,Metals,Distances  Metals  Relatives,,,0,12,12,12,,,,,,,,,,,,,39.97189519999995,None,39.97189519999995,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Aunt,Relatives,Distances  Metals  Relatives,,,0,13,13,13,,,,,,,,,,,,,41.47185749999994,None,41.47185749999994,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Red,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,0,0,0,,,,,49.121290199999976,None,49.121290199999976,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Blue,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,1,1,1,,,,,50.57160699999997,None,50.57160699999997,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
Yellow,Colors,Colors  Countries  Distances  Metals,Trial2.xlsx,"Please write down your answers.

When you are ready for the next trial

Press SPACE to begin.",,,,,0,0,0,0,0,2,2,2,,,,,52.088200099999995,None,52.088200099999995,None,,001,2019_Sep_19_1117,KTT,3.2.3,60.045418354415986,
