word,category,Trial_Cats
Miles,Distances,Distances  Metals  Relatives
Inches,Distances,Distances  Metals  Relatives
Aluminum,Metals,Distances  Metals  Relatives
Iron,Metals,Distances  Metals  Relatives
Aunt,Relatives,Distances  Metals  Relatives
Father,Relatives,Distances  Metals  Relatives
Daughter,Relatives,Distances  Metals  Relatives
Father,Relatives,Distances  Metals  Relatives
Inches,Distances,Distances  Metals  Relatives
Daughter,Relatives,Distances  Metals  Relatives
Miles,Distances,Distances  Metals  Relatives
Aluminum,Metals,Distances  Metals  Relatives
Iron,Metals,Distances  Metals  Relatives
Aunt,Relatives,Distances  Metals  Relatives
